YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2022,0,10924,74900,Cargurus
2022,0,12367,77750,Cargurus
2022,0,316,80000,Craigslist
2022,0,6941,81991,Cargurus
2022,0,264,85000,Craigslist
2022,0,5202,84995,Cargurus
2022,0,6941,81991,Autotrader
2023,0,9000,9000,Autotrader
2022,0,5619,79995,Cargurus
2022,0,8476,84763,Cargurus
2022,0,9509,77977,Cargurus
2022,0,18256,82988,Cargurus
2022,0,8476,84763,Autotrader
2022,0,18673,76976,Cargurus
2023,0,5500,91699,Autotrader
2022,0,26900,80000,Autotrader
2022,0,5924,84250,Cargurus
2022,0,14198,83999,Cargurus
