YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2023,0,13386,77988,Autotrader
2020,2,42209,50668,Cargurus
2017,5,89792,28246,Cargurus
2021,1,29305,52988,Autotrader
2019,3,47205,35995,Autotrader
2018,4,75863,26988,Autotrader
2020,2,66561,42276,Cargurus
2018,4,85940,24249,Cargurus
2022,0,11000,80000,Autotrader
2019,3,54000,51800,Autotrader
2018,4,58410,38197,Cargurus
2021,1,32230,73889,Cargurus
2018,4,39409,37997,Cargurus
2017,5,70428,43981,Autotrader
2020,2,65667,43646,Cargurus
2021,1,55566,52648,Cargurus
2022,0,11204,73464,Cargurus
