Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
01/25/2024,Thursday,3.74,Sweet Tea,Food,Debit,Want
01/26/2024,Friday,22.04,Clothes,Entertainment and Recreation,Debit,Want
01/27/2024,Saturday,72.85,Concert Tickets,Entertainment and Recreation,Debit,Want
01/28/2024,Sunday,32.06,Clothes,Entertainment and Recreation,Debit,Want
01/28/2024,Sunday,3.70,Sweet Tea,Food,Debit,Want
01/28/2024,Sunday,3.75,Lotion,Entertainment and Recreation,Debit,Want
01/29/2024,Monday,30.52,Dinner,Food,Debit,Need
01/29/2024,Monday,45.29,Clothes,Entertainment and Recreation,Debit,Want
01/29/2024,Monday,250.00,Allowance,Financial goals and Savings,Debit,Savings
01/30/2024,Tuesday,12.76,Makeup,Entertainment and Recreation,Debit,Want
01/30/2024,Tuesday,2.01,Scantron,Financial goals and Savings,Debit,Need
01/31/2024,Wednesday,39.58,Dessert,Food,Debit,Want
01/31/2024,Wednesday,20.00,Gas,Travel,Credit,Need
02/01/2024,Thursday,16.32,Socks,Entertainment and Recreation,Debit,Want
02/01/2024,Thursday,26.92,Clothes,Entertainment and Recreation,Debit,Want
02/01/2024,Thursday,10.86,Chik Fil A,Food,Debit,Need
02/01/2024,Thursday,2.98,Sweet Tea,Food,Debit,Want
02/02/2024,Friday,650.63,Paycheck,Financial goals and Savings,Debit,Savings
02/02/2024,Friday,12.94,Stationery,Entertainment and Recreation,Credit,Want
02/02/2024,Friday,73.50,Electronics,Entertainment and Recreation,Cash,Want
02/02/2024,Friday,52.75,Clothes,Entertainment and Recreation,Debit,Want
02/02/2024,Friday,16.33,Makeup,Entertainment and Recreation,Debit,Want
02/02/2024,Friday,93.21,Toiletries,Travel,Debit,Need
02/03/2024,Saturday,23.06,Wingstop,Food,Debit,Need
02/04/2024,Sunday,40.00,Casino,Entertainment and Recreation,Cash,Want
02/04/2024,Sunday,200.00,Allowance,Financial goals and Savings,Cash,Savings
02/05/2024,Monday,93.21,Groceries,Food,Debit,Need
02/05/2024,Monday,23.06,Wingstop,Food,Debit,Need
02/05/2024,Monday,172.39,Payment Plan,Bills,Debit,Need
02/05/2024,Monday,3.71,Sweet Tea,Food,Debit,Want
02/06/2024,Tuesday,42.38,Clothes,Entertainment and Recreation,Debit,Want
02/06/2024,Tuesday,35.67,SMCCD,Bills,Debit,Need
02/06/2024,Tuesday,41.20,New Bag,Entertainment and Recreation,Debit,Want
02/07/2024,Wednesday,68.03,Gas,Travel,Debit,Need
02/07/2024,Wednesday,70.00,Zelle,Financial goals and Savings,Debit,Savings
02/07/2024,Wednesday,37.81,Sushi,Food,Debit,Need
